makespan,energy,iteration,global_step,checkpoint
4.26613505122655,13.754513097856846,5,12800,hetero_worst_pf_it00005_st000012800.pt
4.41629951923077,9.894232315733696,45,115200,hetero_worst_pf_it00045_st000115200.pt
4.819610742424244,9.453887739099136,215,550400,hetero_worst_pf_it00215_st000550400.pt
4.39994583999334,10.907829220843158,285,729600,hetero_worst_pf_it00285_st000729600.pt
4.824257007575758,9.409845172994903,335,857600,hetero_worst_pf_it00335_st000857600.pt
4.657329419191919,9.617995584786945,400,1024000,hetero_worst_pf_it00400_st001024000.pt
4.6351511742424245,9.660111114957349,620,1587200,hetero_worst_pf_it00620_st001587200.pt
4.6711204166666676,9.611514775561448,630,1612800,hetero_worst_pf_it00630_st001612800.pt
4.709033901515151,9.464237821069863,725,1856000,hetero_worst_pf_it00725_st001856000.pt
