Iteration,PC1,PC2
0,-0.7047998905181885,0.22494405508041382
1,-0.6930304765701294,0.20976434648036957
1,-0.6801432371139526,0.1914348602294922
1,-0.6701582074165344,0.17565742135047913
1,-0.6603804230690002,0.1626121997833252
2,-0.6446377038955688,0.1451261192560196
2,-0.6280690431594849,0.12448040395975113
2,-0.616588830947876,0.10965732485055923
2,-0.6118481159210205,0.10124322772026062
3,-0.5996070504188538,0.08809266239404678
3,-0.5867990851402283,0.07427497953176498
3,-0.5771746635437012,0.06332864612340927
3,-0.5716756582260132,0.05634646490216255
4,-0.5618865489959717,0.046884216368198395
4,-0.5420856475830078,0.029196254909038544
4,-0.52616947889328,0.012948893010616302
4,-0.509850025177002,-0.0013345703482627869
5,-0.4942376911640167,-0.01394605915993452
5,-0.4807164967060089,-0.028087664395570755
5,-0.4686742126941681,-0.04123634099960327
5,-0.4580201804637909,-0.05114661902189255
6,-0.44231534004211426,-0.061286233365535736
6,-0.4268812835216522,-0.07325128465890884
6,-0.4145640730857849,-0.08411208540201187
6,-0.40527620911598206,-0.0932694748044014
7,-0.3938875198364258,-0.10052450001239777
7,-0.37730008363723755,-0.10829520970582962
7,-0.36355918645858765,-0.11471416056156158
7,-0.35133951902389526,-0.12182696163654327
8,-0.34100213646888733,-0.12921907007694244
8,-0.3301061689853668,-0.13584227859973907
8,-0.3197537660598755,-0.14185678958892822
8,-0.308910071849823,-0.1465851068496704
9,-0.2988482117652893,-0.14994964003562927
9,-0.29267749190330505,-0.15222586691379547
9,-0.28633764386177063,-0.15382124483585358
9,-0.27808478474617004,-0.15756440162658691
10,-0.261096715927124,-0.1578928530216217
10,-0.24146205186843872,-0.1538694053888321
10,-0.23788239061832428,-0.15657566487789154
10,-0.2327473908662796,-0.15741662681102753
11,-0.2202472686767578,-0.15424713492393494
11,-0.2121245115995407,-0.15216320753097534
11,-0.20267273485660553,-0.1497514396905899
11,-0.1943560689687729,-0.1477072834968567
12,-0.18026521801948547,-0.14263392984867096
12,-0.1648588925600052,-0.13419699668884277
12,-0.15154600143432617,-0.12670522928237915
12,-0.14194104075431824,-0.12114140391349792
13,-0.13328568637371063,-0.11564216017723083
13,-0.12390889972448349,-0.10882481187582016
13,-0.11474069952964783,-0.10215651243925095
13,-0.10474783927202225,-0.09604178369045258
14,-0.09441868215799332,-0.08838381618261337
14,-0.08668079227209091,-0.08242377638816833
14,-0.07807834446430206,-0.07389843463897705
14,-0.07036783546209335,-0.06576871126890182
15,-0.06319363415241241,-0.059182457625865936
15,-0.05542502924799919,-0.052951861172914505
15,-0.05110163986682892,-0.049343541264534
15,-0.043972503393888474,-0.04128317907452583
16,-0.03802508860826492,-0.036341045051813126
16,-0.032944586127996445,-0.03243967145681381
16,-0.02959851734340191,-0.029652472585439682
16,-0.02855662815272808,-0.0291428305208683
17,-0.028270458802580833,-0.02920818142592907
17,-0.02752522937953472,-0.02866259589791298
17,-0.025095650926232338,-0.02633807435631752
17,-0.021068139001727104,-0.022059479728341103
18,-0.018786350265145302,-0.019617324694991112
18,-0.01698513887822628,-0.017683787271380424
18,-0.014909639954566956,-0.015596193261444569
18,-0.013115010224282742,-0.013918597251176834
19,-0.011850489303469658,-0.012637723237276077
19,-0.010570591315627098,-0.011158263310790062
19,-0.009261786937713623,-0.009786863811314106
19,-0.00835840031504631,-0.008876326493918896
20,-0.007822498679161072,-0.008234577253460884
20,-0.007209263741970062,-0.0073750214651227
20,-0.006555094849318266,-0.006473410874605179
20,-0.006162391509860754,-0.005956070963293314
21,-0.00542125478386879,-0.00503553356975317
21,-0.004257745575159788,-0.003695798572152853
21,-0.003319160547107458,-0.0026028344873338938
21,-0.002432354725897312,-0.0015979694435372949
22,-0.0019546085968613625,-0.001108062220737338
22,-0.0015616933815181255,-0.0007611403125338256
22,-0.0011124610900878906,-0.0004693086084444076
22,-0.0007700474816374481,-0.0003084731288254261
23,-0.0006285678828135133,-0.00024361400573980063
23,-0.0003668277640827,-9.683605458121747e-05
23,-0.00013750014477409422,6.469058462243993e-06
23,0.0,0.0
23,0.0,0.0
