seed,domain,decision_steps,sum_ready_tasks,sum_bottleneck_ready_tasks,bottleneck_steps,cumulative_wait_time
200001,wide,28.0,304.0,0.0,0.0,2015.9643693908738
200004,wide,27.0,329.0,0.0,0.0,4467.853278774226
200007,wide,25.0,253.0,0.0,0.0,2191.601941921543
200011,wide,30.0,332.0,0.0,0.0,2169.780597026703
200014,wide,24.0,249.0,38.0,13.0,2005.4210387273004
200018,wide,26.0,274.0,0.0,0.0,2264.2472276581866
200021,wide,27.0,261.0,0.0,0.0,2299.6183706442143
200024,wide,26.0,238.0,0.0,0.0,2532.0071782676278
200028,wide,28.0,327.0,0.0,0.0,2691.5003034714773
200031,wide,29.0,278.0,0.0,0.0,2652.6457925636014
200035,wide,29.0,317.0,0.0,0.0,3706.0940597184513
200038,wide,25.0,267.0,0.0,0.0,1588.4446830350564
200041,wide,29.0,359.0,0.0,0.0,3640.465960889991
200045,wide,24.0,233.0,0.0,0.0,2446.5838225701245
200048,wide,29.0,317.0,0.0,0.0,3266.064956047598
200052,wide,24.0,231.0,0.0,0.0,1979.6585784777901
200055,wide,28.0,248.0,0.0,0.0,2068.3372487072043
200059,wide,24.0,213.0,0.0,0.0,2290.7305230822444
200062,wide,28.0,290.0,0.0,0.0,2283.7384213959554
200065,wide,29.0,360.0,0.0,0.0,4297.1409001956945
200069,wide,26.0,270.0,0.0,0.0,3539.4268983899906
200072,wide,25.0,211.0,32.0,22.0,3545.6608420199163
200076,wide,24.0,229.0,0.0,0.0,1866.3440347305516
200079,wide,29.0,275.0,0.0,0.0,2489.738051673663
200082,wide,25.0,281.0,14.0,12.0,2343.134854110115
200086,wide,27.0,256.0,0.0,0.0,3176.496412263535
200089,wide,29.0,347.0,0.0,0.0,3903.6888454011737
200093,wide,25.0,232.0,0.0,0.0,1594.2267852539826
200096,wide,27.0,262.0,0.0,0.0,3722.447618784588
200100,wide,27.0,272.0,0.0,0.0,2700.2638165006947
100001,longcp,16.0,21.0,0.0,0.0,29.750815394651
100004,longcp,18.0,20.0,0.0,0.0,49.32941943900849
100007,longcp,23.0,31.0,4.0,4.0,66.32159165035881
100011,longcp,20.0,24.0,0.0,0.0,48.23091976516635
100014,longcp,24.0,30.0,0.0,0.0,103.42400521852579
100018,longcp,13.0,14.0,0.0,0.0,0.0
100021,longcp,12.0,19.0,0.0,0.0,96.43574690150034
100024,longcp,23.0,33.0,0.0,0.0,77.71885192433142
100028,longcp,19.0,21.0,0.0,0.0,0.0
100031,longcp,20.0,26.0,0.0,0.0,92.86953685583822
100035,longcp,17.0,18.0,0.0,0.0,0.0
100038,longcp,24.0,27.0,3.0,3.0,37.1930854533594
100041,longcp,12.0,20.0,0.0,0.0,30.348988910632755
100045,longcp,17.0,21.0,0.0,0.0,75.73255055446833
100048,longcp,20.0,25.0,0.0,0.0,95.71493803000652
100052,longcp,21.0,28.0,0.0,0.0,139.24070450097855
100055,longcp,19.0,25.0,0.0,0.0,114.08871493803001
100059,longcp,14.0,14.0,0.0,0.0,0.0
100062,longcp,18.0,23.0,0.0,0.0,45.0358773646445
100065,longcp,15.0,24.0,0.0,0.0,147.86757990867582
100069,longcp,15.0,18.0,0.0,0.0,51.32746249184606
100072,longcp,12.0,18.0,0.0,0.0,110.60339204174824
100076,longcp,19.0,22.0,0.0,0.0,17.73255055446839
100079,longcp,16.0,22.0,0.0,0.0,49.014603783957256
100082,longcp,23.0,30.0,0.0,0.0,155.32642680912406
100086,longcp,18.0,21.0,0.0,0.0,0.0
100089,longcp,18.0,22.0,0.0,0.0,33.86823222439662
100093,longcp,21.0,24.0,0.0,0.0,41.968688845401175
100096,longcp,14.0,16.0,0.0,0.0,0.0
100100,longcp,20.0,28.0,0.0,0.0,144.921722113503
