domain,seed,knn_density,mahalanobis,oob_score
longcp,100051,0.055382267335565734,3.697981207422184,0.049999999999999996
longcp,100014,0.08476087837771439,5.156199282305212,0.065
longcp,100073,0.05856765728653837,3.36442726786481,0.075
longcp,100083,0.08057247762615263,3.3098644843813934,0.1225
longcp,100027,0.08942548010616272,2.9880134715075175,0.1775
longcp,100008,0.10775783058931504,3.6963250517950503,0.19
longcp,100054,0.061896797732131796,2.655211455693118,0.2
longcp,100082,0.07603233875776634,2.6653638110878695,0.21
longcp,100081,0.09704341912664013,2.7734965698374467,0.22999999999999998
longcp,100038,0.09876082558110277,2.9136531903240197,0.23
wide,200050,0.19001395065774881,5.080647498502268,0.015
wide,200001,0.24171219158311386,5.741148329863934,0.030000000000000002
wide,200077,0.19330953705468082,3.9166977721136065,0.055
wide,200047,0.26392843732781646,3.964649507739821,0.07
wide,200079,0.27101901811027324,4.216324283875859,0.075
wide,200040,0.2658123306929131,3.7543000702132248,0.1
wide,200034,0.2091746306468311,3.4228014054406493,0.11
wide,200072,0.28300957241408714,3.762225459033765,0.12
wide,200063,0.20273408579667979,3.2189398478794113,0.12
wide,200031,0.3095583473315161,4.810063498009547,0.12
